2023-09-07 14:15:24,2023-09-07 14:39:05
18799544,LG전자 2023 그램16 16Z90R-GA56K,"SSD 512GB_1,731,990|SSD 256GB_2,649,000|SSD 1TB_1,848,990|SSD 2TB_1,948,990|SSD 3TB_2,046,030|SSD 4TB_2,246,060|SSD 8TB_3,888,970||||||||||"
20327306,LG전자 2023 그램16 16Z90R-GA5HK,"SSD 250GB_1,636,370|SSD 512GB_1,631,240|SSD 1TB_1,682,870|SSD 2TB_1,743,990|SSD 3TB_2,500,000|SSD 4TB_2,600,000|SSD 250GB + SSD 250GB_1,662,510||||||"
20539262,LG전자 2023 그램16 16Z90R-GA5JK,"SSD 256GB_1,680,000|SSD 500GB_1,770,000|SSD 1TB_1,850,000|SSD 2TB_2,100,000|SSD 3TB_2,300,000|SSD 4TB_2,450,000|SSD 250GB + SSD 256GB_1,928,000|||"
20355743,LG전자 2023 그램16 16Z90R-GA7HK,"SSD 250GB_1,958,620|SSD 512GB_1,988,940|SSD 1TB_2,005,150|SSD 2TB_2,066,320|SSD 3TB_2,700,000|SSD 4TB_2,800,000|SSD 250GB + SSD 250GB_1,984,760||||||"
20538782,LG전자 2023 그램16 16Z90RU-GAOWK,"SSD 256GB_1,380,000|SSD 500GB_1,429,990|SSD 1TB_1,459,990|SSD 2TB_1,641,810|SSD 3TB_1,990,000|SSD 4TB_2,200,000|SSD 250GB + SSD 256GB_1,555,050|||"
18799586,LG전자 2023 그램16 16ZD90R-EX56K,"SSD 256GB_1,673,190|SSD 500GB_1,674,980|SSD 1TB_1,737,330|SSD 2TB_1,860,000|SSD 3TB_2,198,700|SSD 4TB_2,300,000|SSD 8TB_3,878,970|||||||||||"
18799595,LG전자 2023 그램16 16ZD90R-EX76K,"SSD 256GB_1,939,990|SSD 500GB_1,979,000|SSD 1TB_2,018,990|SSD 2TB_2,098,990|SSD 3TB_2,450,000|SSD 4TB_2,600,000|SSD 8TB_4,048,970|||||||||||"
18799604,LG전자 2023 그램16 16ZD90R-EX7VK,"SSD 512GB_2,285,940|SSD 1TB_2,448,990|SSD 2TB_2,548,990|SSD 3TB_2,890,000|SSD 4TB_3,000,000|SSD 8TB_4,940,000|SSD 1TB + SSD 250GB_2,539,000||||||||"
18799439,LG전자 2023 그램16 16ZD90R-GX56K,"SSD 256GB_1,517,990|SSD 512GB_1,506,960|SSD 1TB_1,549,940|SSD 2TB_1,655,900|SSD 3TB_1,870,000|SSD 4TB_1,990,000|SSD 8TB_3,610,080|||||||||||"
19834205,LG전자 2023 그램16 16ZD90RU-GX56K,"SSD 256GB_1,272,620|SSD 500GB_1,330,190|SSD 1TB_1,391,990|SSD 2TB_1,438,760|SSD 3TB_1,700,000|SSD 4TB_1,800,000|SSD 8TB_3,550,000||||||||"
18799001,LG전자 2023 그램17 17Z90R-EA5CK,"SSD 512GB_2,124,190|SSD 1TB_2,300,000|SSD 2TB_2,550,000|SSD 3TB_2,700,000|SSD 4TB_2,900,000|SSD 250GB + SSD 512GB_2,478,710|SSD 500GB + SSD 512GB_2,479,750||"
18799025,LG전자 2023 그램17 17Z90R-EA7CK,"SSD 512GB_2,479,990|SSD 1TB_2,680,000|SSD 2TB_2,780,000|SSD 3TB_2,880,000|SSD 4TB_2,980,000|SSD 250GB + SSD 512GB_2,550,000|SSD 500GB + SSD 512GB_2,729,000||"
18799046,LG전자 2023 그램17 17Z90R-ED7VK,"SSD 512GB_2,599,000|SSD 1TB_2,728,990|SSD 2TB_2,817,470|SSD 3TB_3,300,000|SSD 4TB_3,500,000|SSD 8TB_5,008,970|SSD 256GB + SSD 512GB_2,719,000||||||"
19504841,LG전자 2023 그램17 17Z90R-GA5HK,"SSD 512GB_2,230,000|SSD 1TB_2,300,000|SSD 2TB_2,400,000|SSD 3TB_2,700,000|SSD 4TB_2,800,000|SSD 250GB + SSD 512GB_2,276,830|SSD 500GB + SSD 512GB_2,309,990||"
19492022,LG전자 2023 그램17 17Z90R-GA7CK,"SSD 512GB_2,200,000|SSD 1TB_2,600,000|SSD 2TB_2,700,000|SSD 3TB_2,900,000|SSD 4TB_3,000,000|SSD 256GB + SSD 512GB_2,599,000|SSD 512GB + SSD 512GB_2,599,000||"
19504886,LG전자 2023 그램17 17Z90R-GA7HK,"SSD 512GB_2,450,000|SSD 1TB_2,600,000|SSD 2TB_2,800,000|SSD 3TB_2,957,740|SSD 4TB_3,107,840|SSD 250GB + SSD 512GB_2,528,080|SSD 500GB + SSD 512GB_2,578,100||"
18798977,LG전자 2023 그램17 17ZD90R-EX7VK,"SSD 512GB_2,458,900|SSD 1TB_2,518,990|SSD 2TB_2,586,950|SSD 3TB_3,100,000|SSD 4TB_3,190,000|SSD 8TB_4,590,000|SSD 250GB + SSD 250GB_2,631,200|||||||"
18904286,LG전자 2023 그램17 17ZD90R-EX7VK WIN11,"SSD 512GB_2,495,990|SSD 1TB_2,556,890|SSD 2TB_2,631,870|SSD 3TB_2,948,930|SSD 4TB_3,272,430|SSD 8TB_4,800,000|SSD 250GB + SSD 250GB_2,622,000|||||||"
19833890,LG전자 2023 그램17 17ZD90RU-GX56K,"SSD 256GB_1,398,950|SSD 500GB_1,428,960|SSD 1TB_1,458,990|SSD 2TB_1,548,990|SSD 3TB_2,025,000|SSD 4TB_2,120,000|SSD 8TB_3,480,000||||||||"
18812051,LG전자 2023 그램360 14T90R-GA5CK,"SSD 512GB_1,890,000|SSD 1TB_1,867,990|SSD 2TB_2,086,530|SSD 3TB_2,286,510|SSD 4TB_2,436,530|SSD 250GB + SSD 512GB_1,866,000|SSD 500GB + SSD 512GB_1,896,990||"
18870347,LG전자 2023 그램360 14TD90R-GX56K WIN11,"SSD 256GB_1,485,190|SSD 500GB_1,545,000|SSD 1TB_1,572,000|SSD 2TB_1,767,000|SSD 3TB_1,934,940|SSD 4TB_2,084,850|SSD 8TB_3,868,970|||||"
18800075,LG전자 2023 그램360 16T90R-GA50K,"SSD 512GB_1,840,000|SSD 1TB_2,010,000|SSD 2TB_2,160,000|SSD 3TB_2,400,000|SSD 4TB_2,500,000|SSD 250GB + SSD 512GB_2,028,990|SSD 500GB + SSD 512GB_1,945,530||"
18800144,LG전자 2023 그램360 16T90R-GA56K,"SSD 256GB_1,748,110|SSD 500GB_1,755,370|SSD 1TB_1,814,060|SSD 2TB_1,928,000|SSD 3TB_2,295,000|SSD 4TB_2,495,000|SSD 8TB_4,000,000||||||||"
18800420,LG전자 2023 그램360 16T90R-GA70K,"SSD 512GB_2,243,120|SSD 1TB_2,420,000|SSD 2TB_2,570,000|SSD 3TB_2,770,000|SSD 4TB_2,900,000|SSD 250GB + SSD 512GB_2,469,970|SSD 500GB + SSD 512GB_2,517,990||"
18800531,LG전자 2023 그램360 16T90R-GA76K,"SSD 256GB_1,936,590|SSD 500GB_2,059,970|SSD 1TB_2,107,760|SSD 2TB_2,170,000|SSD 3TB_2,500,000|SSD 4TB_2,600,000|SSD 8TB_4,278,970||||||||"
20407292,LG전자 2023 울트라PC 15U50R-GR30K,"SSD 256GB_798,990|SSD 512GB_838,750|SSD 1TB_867,830|SSD 2TB_968,840|1TB + SSD 256GB_879,810|2TB + SSD 256GB_928,960"
